gene,pmg,diapasef
CMAS,2.9124184843253094e-05,1.8479340730226345e-05
CMPK1,6.495669723581652e-05,6.670029455452477e-05
CNDP2,0.0003855313933493825,0.0012266190540926795
CNP,0.0003951813168477508,0.00041388957446406456
CNPY2,4.111806212397108e-05,0.00045305221499546426
CNPY3,0.00011366282742066993,0.0002915776020864161
CNRIP1,7.059063400656105e-05,8.838194127847764e-07
COA6,1.0341678747963304e-05,0.00010044753025112226
COL1A2,8.052129072828353e-06,2.0658975632065975e-05
COLGALT1,3.4471727151442603e-06,0.0008253321666466694
COPA,3.237692811988303e-05,0.00032275623465601695
COPB1,5.1296448249025197e-05,0.00024417569547129737
COPB2,3.877354623276466e-05,0.0003125218769175184
COPE,1.8122791050534206e-06,0.00010079272953725677
COPG1,6.565451523093868e-05,0.00013022679482851322
COPS2,9.83158503570615e-06,5.973586254333416e-05
